1. After linking with hexagon
id=18995265, custId=2df6a4c8-2b2a-4781-889d-4a906c999d40, eventTimestamp=2016-07-01T06:32:13.509+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18994686, custId=41d48b2d-9933-44df-ae6d-016f4a680a60, eventTimestamp=2016-07-01T06:30:05.168+03:00, lon=-71.0596, hexagonId=226, polygonId=9, lat=42.3726
id=18994767, custId=14a5dba0-95f0-4239-8876-04a3050dff90, eventTimestamp=2016-07-01T06:30:20.139+03:00, lon=-71.0624, hexagonId=225, polygonId=9, lat=42.356
id=18994964, custId=8b9a8bc2-3520-4d51-a7dd-909dfc275f44, eventTimestamp=2016-07-01T06:30:59.833+03:00, lon=-71.1004, hexagonId=208, polygonId=6, lat=42.3338
id=18995142, custId=708fdbc6-d2ba-4bd0-a214-d7c4098bd614, eventTimestamp=2016-07-01T06:31:45.512+03:00, lon=-71.1479, hexagonId=53, polygonId=3, lat=42.3957
id=18995526, custId=d9430b8f-b79c-4a4b-aba1-af81f7048164, eventTimestamp=2016-07-01T06:33:22.289+03:00, lon=-71.0738, hexagonId=79, polygonId=6, lat=42.3468
id=18994709, custId=607c1daa-cdd4-40ae-9ea5-5a27dc254f51, eventTimestamp=2016-07-01T06:30:08.265+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18995825, custId=079a890f-fad7-47a3-9494-f4fe3aede3be, eventTimestamp=2016-07-01T06:34:45.186+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18996330, custId=2a47f2d9-3c77-483a-810a-d300d0023cb4, eventTimestamp=2016-07-01T06:36:25.815+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18995966, custId=8fe8874b-8c31-4fcd-a743-6e23e6129e3c, eventTimestamp=2016-07-01T06:35:21.203+03:00, lon=-71.0581, hexagonId=225, polygonId=9, lat=42.3628
id=18994949, custId=564c1d2f-db3b-4bf4-bad9-cb049f8bc043, eventTimestamp=2016-07-01T06:30:56.950+03:00, lon=-71.0451, hexagonId=86, polygonId=11, lat=42.3433
id=18994948, custId=3bed4316-f98f-42b6-9f97-dc5786617bb3, eventTimestamp=2016-07-01T06:30:56.393+03:00, lon=-71.0593, hexagonId=225, polygonId=9, lat=42.359
id=18996864, custId=cac157f5-00c3-4ae4-bdb7-e792987799ac, eventTimestamp=2016-07-01T06:38:41.649+03:00, lon=-71.1314, hexagonId=58, polygonId=5, lat=42.3489
id=18996650, custId=be1c2079-68b9-4892-b8b7-3ade30cc1c26, eventTimestamp=2016-07-01T06:37:42.403+03:00, lon=-71.14, hexagonId=51, polygonId=5, lat=42.3428
id=18995955, custId=31bef0e8-4f78-496d-a6bf-76b4247a88d5, eventTimestamp=2016-07-01T06:35:17.575+03:00, lon=-71.0567, hexagonId=79, polygonId=6, lat=42.3412
id=18995197, custId=71e11a38-4df9-4ecb-aded-4ef37e138a3a, eventTimestamp=2016-07-01T06:32:00.144+03:00, lon=-71.0354, hexagonId=86, polygonId=11, lat=42.3388
id=18994925, custId=b19e0cf8-8993-485d-94ad-4c0452908afb, eventTimestamp=2016-07-01T06:30:53.331+03:00, lon=-71.0536, hexagonId=225, polygonId=9, lat=42.3571
id=18994718, custId=87f779c5-3891-4762-bd13-1fcc8d95289e, eventTimestamp=2016-07-01T06:30:10.079+03:00, lon=-71.0912, hexagonId=70, polygonId=8, lat=42.2967
id=18995321, custId=06e02e99-9ee5-41cf-ba9e-1316a0680c4e, eventTimestamp=2016-07-01T06:32:29.595+03:00, lon=-71.009, hexagonId=null, polygonId=null, lat=42.2758
id=18996909, custId=3b102d38-9794-4096-85af-9ed67924c8b6, eventTimestamp=2016-07-01T06:38:57.517+03:00, lon=-71.054, hexagonId=225, polygonId=9, lat=42.3584
id=18995212, custId=436d5a8b-9bd1-46b0-898d-d5c2eeb9110f, eventTimestamp=2016-07-01T06:32:02.138+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18994878, custId=2ff69497-8172-48de-833e-6c631ca599e1, eventTimestamp=2016-07-01T06:30:44.342+03:00, lon=-71.101, hexagonId=66, polygonId=7, lat=42.3637
id=18995625, custId=3e72842e-2bc8-4cb2-8343-5366652a602d, eventTimestamp=2016-07-01T06:33:49.390+03:00, lon=-71.1082, hexagonId=67, polygonId=7, lat=42.3985
id=18995523, custId=7a6dbaea-483c-42b6-841c-624359395b08, eventTimestamp=2016-07-01T06:33:21.680+03:00, lon=-71.136, hexagonId=null, polygonId=null, lat=42.2775
id=18994682, custId=c9420cc7-3f55-4581-a862-df95160903cd, eventTimestamp=2016-07-01T06:30:03.891+03:00, lon=-71.0759, hexagonId=72, polygonId=6, lat=42.3472
id=18995059, custId=d5dee81f-c2da-4fef-ba58-0b9f277fcd27, eventTimestamp=2016-07-01T06:31:23.393+03:00, lon=-71.0786, hexagonId=219, polygonId=10, lat=42.4053
id=18996416, custId=3957ddfa-b5f2-4ff6-bb11-0b838ad168d3, eventTimestamp=2016-07-01T06:36:40.753+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
